,product_url,product_name,product_img,product_price
17,/vp/products/328754451?itemId=1051375903&vendorItemId=5518261557&sourceType=CATEGORY&categoryId=178354,"폴라로이드 4K UHD TV 191cm POL75U, 스탠드형, 방문설치",//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/39392674467013-90a90a46-0485-49ff-bc98-6b5cc3431640.jpg,"971,450"
18,/vp/products/4613280109?itemId=5705929866&vendorItemId=3427990495&sourceType=CATEGORY&categoryId=178354,"넥스 109cm LED TV [LG패널 무결점] [NF43G], 1_NF43G (스탠드형 / 자가설치)",//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/462e/2e80c1c4dda08eed0d957e919a6a9bde18fd4763b4555243a4048dafb1da.jpg,"269,000"
19,/vp/products/155757545?itemId=448469866&vendorItemId=4270663979&sourceType=CATEGORY&categoryId=178354,"삼성전자 HD 80 cm TV 자가설치, UN32N4000AFXKR, 스탠드형",//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7254628856688-7c54b96a-547d-4d68-a129-2fd5e96f0fe3.jpg,"259,000"
20,/vp/products/4939775241?itemId=6505857240&vendorItemId=75968953423&sourceType=CATEGORY&categoryId=178354,"삼성전자 [에너지소비효율 1등급 10% 환급제품] 138.7cm CRYSTAL 4K 비즈니스 TV 전국 무료설치 스탠드형 벽걸이형, 폐가전 수거 요청, 방문설치",//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f9ed/b429530fe74468e21ae7cc530477775f16e7e67016a877c319f964cfcf73.jpg,"749,000"
21,/vp/products/230257151?itemId=730202988&vendorItemId=71994442897&sourceType=CATEGORY&categoryId=178354,LG전자 시네빔 빔프로젝터 FHD PF50KS,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/19679611960291-4c8b31fb-c4f4-4f56-baa3-0b162cce651a.jpg,"549,000"
22,/vp/products/1806405081?itemId=3073658651&vendorItemId=4388977098&sourceType=CATEGORY&categoryId=178354,티비 셋탑박스 선반 APM-03,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/04/29/16/4/722e719a-c838-4824-b536-a0a7e3865d81.jpg,"16,250"
23,/vp/products/1977935180?itemId=3364562209&vendorItemId=71912210567&sourceType=CATEGORY&categoryId=178354,"프리즘 4K UHD LED 127cm google android TV A50, 스탠드형, 자가설치",//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1216322855380199-e6dee3d9-04ee-4206-b6d8-d7b6ea90a85f.jpg,"469,000"
24,/vp/products/4883810590?itemId=6360596788&vendorItemId=73655855966&sourceType=CATEGORY&categoryId=178354,아트리 인조이 2 HD 와이파이 블루투스 5500L 프로젝터 스마트폰 스크린 미러링 포함 화이트,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/de3d/1508ed7d695dd19d05626e100fe4be277aec8715f3ec89601836b432b51a.jpg,"98,660"
25,/vp/products/4830968822?itemId=6234157058&vendorItemId=73004252498&sourceType=CATEGORY&categoryId=178354,"[한정할인 50%]EKASN 1080P 8000루멘 소형 휴대용 스마트폰 미니 무선미러링 빔프로젝터 미니빔프로젝터+[평생 AS가능], E450",//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9eda/9fe7265e19f85f5e62897c966d791904e7f54f9113a195180d248557c70d.jpg,"90,900"
26,/vp/products/1621139530?itemId=2766304526&vendorItemId=77269690932&sourceType=CATEGORY&categoryId=178354,LG전자 시네 빔프로젝터 PH30N,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/20/17/7/e2261747-661f-491a-b517-fd0cf97bf924.jpg,"387,240"
